ID	xTB_IP	xTB_EA	xTB_Opticalgap	xTB_oscillator_strength	Smiles	A	B	Sequence	check	Monomer_no_A	Monomer_no_B	Optical_gap	IP	EA	IP_cal	EA_cal	Opticalgap_cal	V_oc_PN1
11_26_0011	-4.9776	-3.0917	2.448	2.8954	c1ccc2c(-c3cccc4c(-c5sc(-c6sc(-c7cccc8c(-c9cccc%10c(-c%11sc(-c%12scc%13ccccc%12%13)c%12ccccc%11%12)cccc9%10)cccc78)c7ccccc67)c6ccccc56)cccc34)cccc2c1	BrC1=C2C=CC=CC2=C(Br)S1	BrC1=CC=CC2=C(Br)C=CC=C12	AABB	['AABB', 'BrC1=C2C=CC=CC2=C(Br)S1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	11	26				-5.01347264352869	-1.8512275902966155	2.2446654214283708	0.8633443851733156
11_26_00001111	-4.9475	-3.1919	2.329	2.5129	c1ccc2c(-c3cccc4c(-c5cccc6c(-c7cccc8c(-c9sc(-c%10sc(-c%11sc(-c%12scc%13ccccc%12%13)c%12ccccc%11%12)c%11ccccc%10%11)c%10ccccc9%10)cccc78)cccc56)cccc34)cccc2c1	BrC1=C2C=CC=CC2=C(Br)S1	BrC1=CC=CC2=C(Br)C=CC=C12	AAAABBBB	['AAAABBBB', 'BrC1=C2C=CC=CC2=C(Br)S1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	11	26				-4.986036222947149	-1.9372897829230964	2.1792670439626427	0.835910989115128
48_26_00001111	-4.0831	-2.0984	3.1010000000000004	4.8201	c1ccc2c(-c3cccc4c(-c5cccc6c(-c7cccc8c(-c9cc%10[nH]c%11cc(-c%12cc%13[nH]c%14cc(-c%15cc%16[nH]c%17cc(-c%18cc%19[nH]c%20cc[nH]c%20c%19[nH]%18)[nH]c%17c%16[nH]%15)[nH]c%14c%13[nH]%12)[nH]c%11c%10[nH]9)cccc78)cccc56)cccc34)cccc2c1	BrC1=CC2=C(N1)C1=C(N2)C=C(Br)N1	BrC1=CC=CC2=C(Br)C=CC=C12	AAAABBBB	['AAAABBBB', 'BrC1=CC2=C(N1)C1=C(N2)C=C(Br)N1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	48	26				-4.198127852492502	-0.9980781298586516	2.6035321481940903	0.048089475736444065
48_26_0011	-4.3047	-2.1018	3.293	4.8921	c1ccc2c(-c3cccc4c(-c5cc6[nH]c7cc(-c8cc9[nH]c%10cc(-c%11cccc%12c(-c%13cccc%14c(-c%15cc%16[nH]c%17cc(-c%18cc%19[nH]c%20cc[nH]c%20c%19[nH]%18)[nH]c%17c%16[nH]%15)cccc%13%14)cccc%11%12)[nH]c%10c9[nH]8)[nH]c7c6[nH]5)cccc34)cccc2c1	BrC1=CC2=C(N1)C1=C(N2)C=C(Br)N1	BrC1=CC=CC2=C(Br)C=CC=C12	AABB	['AABB', 'BrC1=CC2=C(N1)C1=C(N2)C=C(Br)N1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	48	26				-4.400118244547974	-1.0009984038599495	2.7090488580547607	0.25005760086915635
48_26_01	-4.6017	-2.1754	3.227	5.5964	c1ccc2c(-c3cc4[nH]c5cc(-c6cccc7c(-c8cc9[nH]c%10cc(-c%11cccc%12c(-c%13cc%14[nH]c%15cc(-c%16cccc%17c(-c%18cc%19[nH]c%20cc[nH]c%20c%19[nH]%18)cccc%16%17)[nH]c%15c%14[nH]%13)cccc%11%12)[nH]c%10c9[nH]8)cccc67)[nH]c5c4[nH]3)cccc2c1	BrC1=CC2=C(N1)C1=C(N2)C=C(Br)N1	BrC1=CC=CC2=C(Br)C=CC=C12	AB	['AB', 'BrC1=CC2=C(N1)C1=C(N2)C=C(Br)N1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	48	26				-4.670836414405713	-1.0642137469468658	2.672777489040155	0.5207459274233774
12_26_0011	-5.4864	-2.1732	3.9530000000000003	2.5604	c1ccc2c(-c3cccc4c(-c5ccc(-c6ccc(-c7cccc8c(-c9cccc%10c(-c%11ccc(-c%12cccc%13[nH]ccc%12%13)c%12[nH]ccc%11%12)cccc9%10)cccc78)c7[nH]ccc67)c6[nH]ccc56)cccc34)cccc2c1	BrC1=CC=C(Br)C2=C1NC=C2	BrC1=CC=CC2=C(Br)C=CC=C12	AABB	['AABB', 'BrC1=CC=C(Br)C2=C1NC=C2', 'BrC1=CC=CC2=C(Br)C=CC=C12']	12	26				-5.477248417345584	-1.062324157887203	3.0717625482008164	1.327069033492466
12_26_00001111	-5.4086	-2.1373	3.7539999999999996	2.2728	c1ccc2c(-c3cccc4c(-c5cccc6c(-c7cccc8c(-c9ccc(-c%10ccc(-c%11ccc(-c%12cccc%13[nH]ccc%12%13)c%12[nH]ccc%11%12)c%11[nH]ccc%10%11)c%10[nH]ccc9%10)cccc78)cccc56)cccc34)cccc2c1	BrC1=CC=C(Br)C2=C1NC=C2	BrC1=CC=CC2=C(Br)C=CC=C12	AAAABBBB	['AAAABBBB', 'BrC1=CC=C(Br)C2=C1NC=C2', 'BrC1=CC=CC2=C(Br)C=CC=C12']	12	26				-5.406333017968709	-1.0314895000499706	2.9623988749598085	1.2561614516543573
9_26_0011	-5.4499	-2.6371	3.0269999999999997	5.1561	c1ccc2c(-c3cccc4c(-c5cc6oc(-c7cc8oc(-c9cccc%10c(-c%11cccc%12c(-c%13cc%14oc(-c%15cc%16occc%16o%15)cc%14o%13)cccc%11%12)cccc9%10)cc8o7)cc6o5)cccc34)cccc2c1	BrC1=CC2=C(O1)C=C(Br)O2	BrC1=CC=CC2=C(Br)C=CC=C12	AABB	['AABB', 'BrC1=CC2=C(O1)C=C(Br)O2', 'BrC1=CC=CC2=C(Br)C=CC=C12']	9	26				-5.443978339231756	-1.4607697782407434	2.562864249601956	1.2938026229900126
9_26_00001111	-5.4289	-2.6407	2.86	5.1063	c1ccc2c(-c3cccc4c(-c5cccc6c(-c7cccc8c(-c9cc%10oc(-c%11cc%12oc(-c%13cc%14oc(-c%15cc%16occc%16o%15)cc%14o%13)cc%12o%11)cc%10o9)cccc78)cccc56)cccc34)cccc2c1	BrC1=CC2=C(O1)C=C(Br)O2	BrC1=CC=CC2=C(Br)C=CC=C12	AAAABBBB	['AAAABBBB', 'BrC1=CC2=C(O1)C=C(Br)O2', 'BrC1=CC=CC2=C(Br)C=CC=C12']	9	26				-5.424836650453934	-1.4638618330656463	2.4710866946710603	1.2746630443447633
9_26_01	-5.4856	-2.7824	3.13	5.4435	c1ccc2c(-c3cc4oc(-c5cccc6c(-c7cc8oc(-c9cccc%10c(-c%11cc%12oc(-c%13cccc%14c(-c%15cc%16occc%16o%15)cccc%13%14)cc%12o%11)cccc9%10)cc8o7)cccc56)cc4o3)cccc2c1	BrC1=CC2=C(O1)C=C(Br)O2	BrC1=CC=CC2=C(Br)C=CC=C12	AB	['AB', 'BrC1=CC2=C(O1)C=C(Br)O2', 'BrC1=CC=CC2=C(Br)C=CC=C12']	9	26				-5.476519210154049	-1.5855685465903209	2.6194695679126285	1.3263399066869341
