ID	xTB_IP	xTB_EA	xTB_Opticalgap	xTB_oscillator_strength	Smiles	A	B	Sequence	check	Monomer_no_A	Monomer_no_B	Optical_gap	IP	EA	IP_cal	EA_cal	Opticalgap_cal	V_oc_expPCBM
11_26_00001111	-4.9475	-3.1919	2.329	2.5129	c1ccc2c(-c3cccc4c(-c5cccc6c(-c7cccc8c(-c9sc(-c%10sc(-c%11sc(-c%12scc%13ccccc%12%13)c%12ccccc%11%12)c%11ccccc%10%11)c%10ccccc9%10)cccc78)cccc56)cccc34)cccc2c1	BrC1=C2C=CC=CC2=C(Br)S1	BrC1=CC=CC2=C(Br)C=CC=C12	AAAABBBB	['AAAABBBB', 'BrC1=C2C=CC=CC2=C(Br)S1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	11	26				-4.986036222947149	-1.9372897829230964	2.1792670439626427	0.7959153986164971
11_19_00001111	-4.7782	-3.3936	2.331	4.259	c1cnc2ccc(-c3ccc4cc(-c5ccc6cc(-c7ccc8cc(-c9sc(-c%10sc(-c%11sc(-c%12scc%13ccccc%12%13)c%12ccccc%11%12)c%11ccccc%10%11)c%10ccccc9%10)ccc8n7)ccc6n5)ccc4n3)cc2c1	BrC1=C2C=CC=CC2=C(Br)S1	BrC1=CC=C2N=C(Br)C=CC2=C1	AAAABBBB	['AAAABBBB', 'BrC1=C2C=CC=CC2=C(Br)S1', 'BrC1=CC=C2N=C(Br)C=CC2=C1']	11	19				-4.831717751038341	-2.110530743529497	2.180366176357025	0.6416139383955195
11_39_01	-5.2816	-3.5605	2.351	3.6802	c1ccc2c(-c3ccc(-c4sc(-c5ccc(-c6sc(-c7ccc(-c8sc(-c9cccc%10ncncc9%10)c9ccccc89)c8ncncc78)c7ccccc67)c6ncncc56)c5ccccc45)c4ncncc34)scc2c1	BrC1=C2C=CC=CC2=C(Br)S1	BrC1=C2C=NC=NC2=C(Br)C=C1	AB	['AB', 'BrC1=C2C=CC=CC2=C(Br)S1', 'BrC1=C2C=NC=NC2=C(Br)C=C1']	11	39				-5.2905713763123705	-2.2538818408284964	2.1913575003008448	1.1004169807773236
11_39_0011	-5.1524	-3.5580000000000003	2.295	3.9875	c1ccc2c(-c3sc(-c4ccc(-c5ccc(-c6sc(-c7sc(-c8ccc(-c9cccc%10ncncc9%10)c9ncncc89)c8ccccc78)c7ccccc67)c6ncncc56)c5ncncc45)c4ccccc34)scc2c1	BrC1=C2C=CC=CC2=C(Br)S1	BrC1=C2C=NC=NC2=C(Br)C=C1	AABB	['AABB', 'BrC1=C2C=CC=CC2=C(Br)S1', 'BrC1=C2C=NC=NC2=C(Br)C=C1']	11	39				-5.172804414879306	-2.2517345805334243	2.160581793258149	0.9826630016837019
11_35_00001111	-4.7251	-3.3189	2.276	4.0887	c1ccc2c(-c3ccc(-c4ccc(-c5ccc(-c6sc(-c7sc(-c8sc(-c9scc%10ccccc9%10)c9ccccc89)c8ccccc78)c7ccccc67)c6ccccc56)c5ccccc45)c4ccccc34)cccc2c1	BrC1=C2C=CC=CC2=C(Br)S1	BrC1=C2C=CC=CC2=C(Br)C=C1	AAAABBBB	['AAAABBBB', 'BrC1=C2C=CC=CC2=C(Br)C=C1', 'BrC1=C2C=CC=CC2=C(Br)S1']	11	35	2.022480504988752	-5.009512102669069	-2.0665178938450954	-4.7833166237001405	-2.0463706059127493	2.1501400355115203	0.5932181466782513
11_60_0011	-5.0119	-3.2045	2.247	2.6688	c1ccc2c(-c3sc(-c4c5ccccc5c(-c5c6ccccc6c(-c6sc(-c7sc(-c8c9ccccc9c(-c9c%10ccccc%10cc%10ccccc9%10)c9ccccc89)c8ccccc78)c7ccccc67)c6ccccc56)c5ccccc45)c4ccccc34)scc2c1	BrC1=C2C=CC=CC2=C(Br)S1	BrC1=C2C=CC=CC2=C(Br)C2=CC=CC=C12	AABB	['AABB', 'BrC1=C2C=CC=CC2=C(Br)C2=CC=CC=C12', 'BrC1=C2C=CC=CC2=C(Br)S1']	11	60				-5.0447374018657944	-1.948111974810259	2.134202615792981	0.8546101064619216
47_60_00001111	-5.4561	-3.7312	2.037	1.5656	c1ccc2c(-c3nnc(-c4nnc(-c5nnc(-c6c7ccccc7c(-c7c8ccccc8c(-c8c9ccccc9c(-c9c%10ccccc%10cc%10ccccc9%10)c9ccccc89)c8ccccc78)c7ccccc67)c6ccccc56)c5ccccc45)c4ccccc34)nncc2c1	BrC1=C2C=CC=CC2=C(Br)N=N1	BrC1=C2C=CC=CC2=C(Br)C2=CC=CC=C12	AAAABBBB	['AAAABBBB', 'BrC1=C2C=CC=CC2=C(Br)C2=CC=CC=C12', 'BrC1=C2C=CC=CC2=C(Br)N=N1']	47	60				-5.449629694966159	-2.400496773776005	2.0187937143828725	1.2594577652342638
52_60_00001111	-5.2734	-3.2818	2.124	1.3266	c1ccc2c(-c3c4ccccc4c(-c4c5ccccc5c(-c5c6ccccc6c(-c6cc7cc8oc(-c9cc%10cc%11oc(-c%12cc%13cc%14oc(-c%15cc%16cc%17occc%17cc%16o%15)cc%14cc%13o%12)cc%11cc%10o9)cc8cc7o6)c6ccccc56)c5ccccc45)c4ccccc34)c3ccccc3cc2c1	BrC1=CC2=CC3=C(C=C(Br)O3)C=C2O1	BrC1=C2C=CC=CC2=C(Br)C2=CC=CC=C12	AAAABBBB	['AAAABBBB', 'BrC1=C2C=CC=CC2=C(Br)C2=CC=CC=C12', 'BrC1=CC2=CC3=C(C=C(Br)O3)C=C2O1']	52	60				-5.283097002599125	-2.0145052631338816	2.066605973538489	1.0929434310206056
11_53_0011	-4.8029	-3.4375	2.32	7.3786	c1ccc2c(-c3sc(-c4cc5cc6sc(-c7cc8cc9sc(-c%10sc(-c%11sc(-c%12cc%13cc%14sc(-c%15cc%16cc%17sccc%17cc%16s%15)cc%14cc%13s%12)c%12ccccc%11%12)c%11ccccc%10%11)cc9cc8s7)cc6cc5s4)c4ccccc34)scc2c1	BrC1=C2C=CC=CC2=C(Br)S1	BrC1=CC2=CC3=C(C=C(Br)S3)C=C2S1	AABB	['AABB', 'BrC1=C2C=CC=CC2=C(Br)S1', 'BrC1=CC2=CC3=C(C=C(Br)S3)C=C2S1']	11	53				-4.854232023077016	-2.148236634310959	2.1743209481879235	0.6641257285163604
11_2_01	-4.644	-3.4322	2.194	5.0567	c1csc(-c2sc(-c3ccc(-c4sc(-c5ccc(-c6sc(-c7ccc(-c8scc9ccccc89)s7)c7ccccc67)s5)c5ccccc45)s3)c3ccccc23)c1	BrC1=C2C=CC=CC2=C(Br)S1	BrC1=CC=C(Br)S1	AB	['AB', 'BrC1=C2C=CC=CC2=C(Br)S1', 'BrC1=CC=C(Br)S1']	11	3				-4.7093932446581785	-2.1436844424854065	2.105075607341859	0.5193029167673169
