ID,xTB_IP,xTB_EA,xTB_Opticalgap,xTB_oscillator_strength,Smiles,A,B,Sequence,check,Monomer_no_A,Monomer_no_B,IP_cal,EA_cal,Opticalgap_cal
31_31_01,-6.7286,-3.7351,3.984,3.8285,c1cc2c(-c3nccc4c(-c5nccc6c(-c7nccc8c(-c9nccc%10c(-c%11nccc%12c(-c%13nccc%14c(-c%15nccc%16c(-c%17nccc%18c(-c%19nccc%20c(-c%21nccc%22c(-c%23nccc%24ccncc%23%24)cncc%21%22)cncc%19%20)cncc%17%18)cncc%15%16)cncc%13%14)cncc%11%12)cncc9%10)cncc78)cncc56)cncc34)cncc2cn1,BrC1=CN=CC2=C(Br)N=CC=C12,BrC1=CN=CC2=C(Br)N=CC=C12,AB,"['AB', 'BrC1=CN=CC2=C(Br)N=CC=C12', 'BrC1=CN=CC2=C(Br)N=CC=C12']",32.0,32.0,6.609524884003108,2.403846499836317,3.0887991003137376
3_3_01,-5.9026,-2.2574,4.454,7.5572,c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8ccc(-c9ccc(-c%10ccc(-c%11ccc(-c%12ccccc%12)cc%11)cc%10)cc9)cc8)cc7)cc6)cc5)cc4)cc3)cc2)cc1,BrC1=CC=C(Br)C=C1,BrC1=CC=C(Br)C=C1,AB,"['AB', 'BrC1=CC=C(Br)C=C1', 'BrC1=CC=C(Br)C=C1']",4.0,4.0,5.856618458742188,1.134643884625224,3.347095212993504
28_28_01,-6.8645,-3.7497,4.033,3.603,c1cnc2c(-c3ccnc4c(-c5ccnc6c(-c7ccnc8c(-c9ccnc%10c(-c%11ccnc%12c(-c%13ccnc%14c(-c%15ccnc%16c(-c%17ccnc%18c(-c%19ccnc%20c(-c%21ccnc%22c(-c%23ccnc%24ccncc%23%24)cncc%21%22)cncc%19%20)cncc%17%18)cncc%15%16)cncc%13%14)cncc%11%12)cncc9%10)cncc78)cncc56)cncc34)cncc2c1,BrC1=CC=NC2=C(Br)C=NC=C12,BrC1=CC=NC2=C(Br)C=NC=C12,AB,"['AB', 'BrC1=CC=NC2=C(Br)C=NC=C12', 'BrC1=CC=NC2=C(Br)C=NC=C12']",29.0,29.0,6.733398955665285,2.4163864999595366,3.115727843976096
15_15_01,-6.2908,-4.5633,2.391,8.2093,c1cc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8ccc(-c9ccc(-c%10ccc(-c%11ccc(-c%12cccc%13nonc%12%13)c%12nonc%11%12)c%11nonc%10%11)c%10nonc9%10)c9nonc89)c8nonc78)c7nonc67)c6nonc56)c5nonc45)c4nonc34)c3nonc23)c2nonc2c1,BrC1=CC=C(Br)C2=NON=C12,BrC1=CC=C(Br)C2=NON=C12,AB,"['AB', 'BrC1=CC=C(Br)C2=NON=C12', 'BrC1=CC=C(Br)C2=NON=C12']",16.0,16.0,6.210466248435032,3.1151908903877326,2.2133401481884842
11_11_01,-5.0759,-2.0658,3.786,5.6642,c1cc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8ccc(-c9ccc(-c%10ccc(-c%11ccc(-c%12cccc%13[nH]ccc%12%13)c%12[nH]ccc%11%12)c%11[nH]ccc%10%11)c%10[nH]ccc9%10)c9[nH]ccc89)c8[nH]ccc78)c7[nH]ccc67)c6[nH]ccc56)c5[nH]ccc45)c4[nH]ccc34)c3[nH]ccc23)c2[nH]ccc2c1,BrC1=CC=C(Br)C2=C1NC=C2,BrC1=CC=C(Br)C2=C1NC=C2,AB,"['AB', 'BrC1=CC=C(Br)C2=C1NC=C2', 'BrC1=CC=C(Br)C2=C1NC=C2']",12.0,12.0,5.103073977188676,0.9700778556109142,2.9799849932699205
36_36_01,-6.0138,-3.1139,3.9,5.4068,c1cnc2c(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8ccc(-c9ccc(-c%10ccc(-c%11ccc(-c%12ccc(-c%13cccc%14ncccc%13%14)c%13ncccc%12%13)c%12ncccc%11%12)c%11ncccc%10%11)c%10ncccc9%10)c9ncccc89)c8ncccc78)c7ncccc67)c6ncccc56)c5ncccc45)c4ncccc34)cccc2c1,BrC1=C2C=CC=NC2=C(Br)C=C1,BrC1=C2C=CC=NC2=C(Br)C=C1,AB,"['AB', 'BrC1=C2C=CC=NC2=C(Br)C=C1', 'BrC1=C2C=CC=NC2=C(Br)C=C1']",37.0,37.0,5.957978258365692,1.8702952617168536,3.0426355397496936
40_40_01,-6.2005,-3.3605,3.82,5.0154,c1ccc2c(-c3ncc(-c4ncc(-c5ncc(-c6ncc(-c7ncc(-c8ncc(-c9ncc(-c%10ncc(-c%11ncc(-c%12ncc(-c%13nccc%14ccccc%13%14)c%13ccccc%12%13)c%12ccccc%11%12)c%11ccccc%10%11)c%10ccccc9%10)c9ccccc89)c8ccccc78)c7ccccc67)c6ccccc56)c5ccccc45)c4ccccc34)cncc2c1,BrC1=C2C=CC=CC2=C(Br)N=C1,BrC1=C2C=CC=CC2=C(Br)N=C1,AB,"['AB', 'BrC1=C2C=CC=CC2=C(Br)N=C1', 'BrC1=C2C=CC=CC2=C(Br)N=C1']",41.0,41.0,6.128156986690406,2.0821010172227448,2.9986702439744146
10_10_01,-4.2733,-3.8165,1.9569999999999999,0.4281,c1ccc2c(-c3sc(-c4sc(-c5sc(-c6sc(-c7sc(-c8sc(-c9sc(-c%10sc(-c%11sc(-c%12sc(-c%13scc%14ccccc%13%14)c%13ccccc%12%13)c%12ccccc%11%12)c%11ccccc%10%11)c%10ccccc9%10)c9ccccc89)c8ccccc78)c7ccccc67)c6ccccc56)c5ccccc45)c4ccccc34)scc2c1,BrC1=C2C=CC=CC2=C(Br)S1,BrC1=C2C=CC=CC2=C(Br)S1,AB,"['AB', 'BrC1=C2C=CC=CC2=C(Br)S1', 'BrC1=C2C=CC=CC2=C(Br)S1']",11.0,11.0,4.371496862280185,2.473761295043858,1.974828418607593
52_52_01,-5.1515,-3.1554,3.364,20.9505,c1cc2cc3sc(-c4cc5cc6sc(-c7cc8cc9sc(-c%10cc%11cc%12sc(-c%13cc%14cc%15sc(-c%16cc%17cc%18sc(-c%19cc%20cc%21sc(-c%22cc%23cc%24sc(-c%25cc%26cc%27sc(-c%28cc%29cc%30sc(-c%31cc%32cc%33sc(-c%34cc%35cc%36sccc%36cc%35s%34)cc%33cc%32s%31)cc%30cc%29s%28)cc%27cc%26s%25)cc%24cc%23s%22)cc%21cc%20s%19)cc%18cc%17s%16)cc%15cc%14s%13)cc%12cc%11s%10)cc9cc8s7)cc6cc5s4)cc3cc2s1,BrC1=CC2=CC3=C(C=C(Br)S3)C=C2S1,BrC1=CC2=CC3=C(C=C(Br)S3)C=C2S1,AB,"['AB', 'BrC1=CC2=CC3=C(C=C(Br)S3)C=C2S1', 'BrC1=CC2=CC3=C(C=C(Br)S3)C=C2S1']",53.0,53.0,5.171984056788828,1.905939782615047,2.7480680580553214
14_14_01,-5.0178,-2.9275,3.053,4.9341,c1cc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8ccc(-c9ccc(-c%10ccc(-c%11ccc(-c%12cccc%13cscc%12%13)c%12cscc%11%12)c%11cscc%10%11)c%10cscc9%10)c9cscc89)c8cscc78)c7cscc67)c6cscc56)c5cscc45)c4cscc34)c3cscc23)c2cscc2c1,BrC1=CC=C(Br)C2=CSC=C12,BrC1=CC=C(Br)C2=CSC=C12,AB,"['AB', 'BrC1=CC=C(Br)C2=CSC=C12', 'BrC1=CC=C(Br)C2=CSC=C12']",15.0,15.0,5.0501153049033745,1.7101955341162935,2.577152970728922
0_0_01,-4.1862,-1.4308,3.162,4.6891,c1c[nH]c(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8ccc(-c9ccc(-c%10ccc(-c%11ccc(-c%12ccc[nH]%12)[nH]%11)[nH]%10)[nH]9)[nH]8)[nH]7)[nH]6)[nH]5)[nH]4)[nH]3)[nH]2)c1,BrC1=CC=C(Br)N1,BrC1=CC=C(Br)N1,AB,"['AB', 'BrC1=CC=C(Br)N1', 'BrC1=CC=C(Br)N1']",1.0,1.0,4.292104429301704,0.4246737406626544,2.6370556862227406
46_46_01,-6.9129,-3.9929,3.5789999999999997,0.0074,c1ccc2c(-c3nnc(-c4nnc(-c5nnc(-c6nnc(-c7nnc(-c8nnc(-c9nnc(-c%10nnc(-c%11nnc(-c%12nnc(-c%13nncc%14ccccc%13%14)c%13ccccc%12%13)c%12ccccc%11%12)c%11ccccc%10%11)c%10ccccc9%10)c9ccccc89)c8ccccc78)c7ccccc67)c6ccccc56)c5ccccc45)c4ccccc34)nncc2c1,BrC1=C2C=CC=CC2=C(Br)N=N1,BrC1=C2C=CC=CC2=C(Br)N=N1,AB,"['AB', 'BrC1=C2C=CC=CC2=C(Br)N=N1', 'BrC1=C2C=CC=CC2=C(Br)N=N1']",47.0,47.0,6.777515990753213,2.6252719814641305,2.8662247904513847
18_18_01,-6.1789,-3.3535,4.0360000000000005,10.677,c1cnc2ccc(-c3ccc4cc(-c5ccc6cc(-c7ccc8cc(-c9ccc%10cc(-c%11ccc%12cc(-c%13ccc%14cc(-c%15ccc%16cc(-c%17ccc%18cc(-c%19ccc%20cc(-c%21ccc%22cc(-c%23ccc%24ccccc%24n%23)ccc%22n%21)ccc%20n%19)ccc%18n%17)ccc%16n%15)ccc%14n%13)ccc%12n%11)ccc%10n9)ccc8n7)ccc6n5)ccc4n3)cc2c1,BrC1=CC=C2N=C(Br)C=CC2=C1,BrC1=CC=C2N=C(Br)C=CC2=C1,AB,"['AB', 'BrC1=CC=C2N=C(Br)C=CC2=C1', 'BrC1=CC=C2N=C(Br)C=CC2=C1']",19.0,19.0,6.108468392518934,2.0760886883965437,3.117376542567669
2_2_01,-4.8604,-3.1099,2.625,6.8326,c1csc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8ccc(-c9ccc(-c%10ccc(-c%11ccc(-c%12cccs%12)s%11)s%10)s9)s8)s7)s6)s5)s4)s3)s2)c1,BrC1=CC=C(Br)S1,BrC1=CC=C(Br)S1,AB,"['AB', 'BrC1=CC=C(Br)S1', 'BrC1=CC=C(Br)S1']",3.0,3.0,4.906643789968666,1.8668596452447388,2.341938638331177
23_23_01,-6.1833,-3.4427,3.823,13.4213,c1cc2cnc(-c3cc4cnc(-c5cc6cnc(-c7cc8cnc(-c9cc%10cnc(-c%11cc%12cnc(-c%13cc%14cnc(-c%15cc%16cnc(-c%17cc%18cnc(-c%19cc%20cnc(-c%21cc%22cnc(-c%23cc%24cnccc%24cn%23)cc%22cn%21)cc%20cn%19)cc%18cn%17)cc%16cn%15)cc%14cn%13)cc%12cn%11)cc%10cn9)cc8cn7)cc6cn5)cc4cn3)cc2cn1,BrC1=CC2=CN=C(Br)C=C2C=N1,BrC1=CC2=CN=C(Br)C=C2C=N1,AB,"['AB', 'BrC1=CC2=CN=C(Br)C=C2C=N1', 'BrC1=CC2=CN=C(Br)C=C2C=N1']",24.0,24.0,6.1124790320723825,2.1527029357247085,3.000318942565987
12_12_01,-5.6606,-2.6702,3.965,7.1344,c1cc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8ccc(-c9ccc(-c%10ccc(-c%11ccc(-c%12cccc%13occc%12%13)c%12occc%11%12)c%11occc%10%11)c%10occc9%10)c9occc89)c8occc78)c7occc67)c6occc56)c5occc45)c4occc34)c3occc23)c2occc2c1,BrC1=CC=C(Br)C2=C1OC=C2,BrC1=CC=C(Br)C2=C1OC=C2,AB,"['AB', 'BrC1=CC=C(Br)C2=C1OC=C2', 'BrC1=CC=C(Br)C2=C1OC=C2']",13.0,13.0,5.636033283302549,1.4891995045474946,3.0783573425671085
49_49_01,-4.8059,-3.2634,2.847,18.6338,c1cc2sc3cc(-c4cc5sc6cc(-c7cc8sc9cc(-c%10cc%11sc%12cc(-c%13cc%14sc%15cc(-c%16cc%17sc%18cc(-c%19cc%20sc%21cc(-c%22cc%23sc%24cc(-c%25cc%26sc%27cc(-c%28cc%29sc%30cc(-c%31cc%32sc%33cc(-c%34cc%35sc%36ccsc%36c%35s%34)sc%33c%32s%31)sc%30c%29s%28)sc%27c%26s%25)sc%24c%23s%22)sc%21c%20s%19)sc%18c%17s%16)sc%15c%14s%13)sc%12c%11s%10)sc9c8s7)sc6c5s4)sc3c2s1,BrC1=CC2=C(S1)C1=C(S2)C=C(Br)S1,BrC1=CC2=C(S1)C1=C(S2)C=C(Br)S1,AB,"['AB', 'BrC1=CC2=C(S1)C1=C(S2)C=C(Br)S1', 'BrC1=CC2=C(S1)C1=C(S2)C=C(Br)S1']",50.0,50.0,4.856966550045277,1.9987014273621524,2.4639423341075775
