ID,xTB_IP,xTB_EA,xTB_Opticalgap,xTB_oscillator_strength,Smiles,A,B,Sequence,check,Monomer_no_A,Monomer_no_B,IP_cal,EA_cal,Opticalgap_cal
31_31_01,-6.3984,-3.6663,3.987,3.7093,c1cc2c(-c3nccc4c(-c5nccc6c(-c7nccc8c(-c9nccc%10c(-c%11nccc%12c(-c%13nccc%14c(-c%15nccc%16c(-c%17nccc%18c(-c%19nccc%20c(-c%21nccc%22c(-c%23nccc%24ccncc%23%24)cncc%21%22)cncc%19%20)cncc%17%18)cncc%15%16)cncc%13%14)cncc%11%12)cncc9%10)cncc78)cncc56)cncc34)cncc2cn1,BrC1=CN=CC2=C(Br)N=CC=C12,BrC1=CN=CC2=C(Br)N=CC=C12,AB,"['AB', 'BrC1=CN=CC2=C(Br)N=CC=C12', 'BrC1=CN=CC2=C(Br)N=CC=C12']",32.0,32.0,6.308544615696622,2.3447538965159374,3.0904477989053105
3_3_01,-5.8081,-2.5076,4.397,7.5759,c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8ccc(-c9ccc(-c%10ccc(-c%11ccc(-c%12ccccc%12)cc%11)cc%10)cc9)cc8)cc7)cc6)cc5)cc4)cc3)cc2)cc1,BrC1=CC=C(Br)C=C1,BrC1=CC=C(Br)C=C1,AB,"['AB', 'BrC1=CC=C(Br)C=C1', 'BrC1=CC=C(Br)C=C1']",4.0,4.0,5.770480859241997,1.3495416949560175,3.315769939753618
28_28_01,-6.5588,-3.7602,4.0280000000000005,3.0691,c1cnc2c(-c3ccnc4c(-c5ccnc6c(-c7ccnc8c(-c9ccnc%10c(-c%11ccnc%12c(-c%13ccnc%14c(-c%15ccnc%16c(-c%17ccnc%18c(-c%19ccnc%20c(-c%21ccnc%22c(-c%23ccnc%24ccncc%23%24)cncc%21%22)cncc%19%20)cncc%17%18)cncc%15%16)cncc%13%14)cncc%11%12)cncc9%10)cncc78)cncc56)cncc34)cncc2c1,BrC1=CC=NC2=C(Br)C=NC=C12,BrC1=CC=NC2=C(Br)C=NC=C12,AB,"['AB', 'BrC1=CC=NC2=C(Br)C=NC=C12', 'BrC1=CC=NC2=C(Br)C=NC=C12']",29.0,29.0,6.45475065759959,2.4254049931988377,3.1129800129901413
15_15_01,-5.8133,-4.4172,2.395,8.042,c1cc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8ccc(-c9ccc(-c%10ccc(-c%11ccc(-c%12cccc%13nonc%12%13)c%12nonc%11%12)c%11nonc%10%11)c%10nonc9%10)c9nonc89)c8nonc78)c7nonc67)c6nonc56)c5nonc45)c4nonc34)c3nonc23)c2nonc2c1,BrC1=CC=C(Br)C2=NON=C12,BrC1=CC=C(Br)C2=NON=C12,AB,"['AB', 'BrC1=CC=C(Br)C2=NON=C12', 'BrC1=CC=C(Br)C2=NON=C12']",16.0,16.0,5.775220705986982,2.9897049987437305,2.2155384129772484
11_11_01,-4.9826,-2.2938,3.752,5.7878,c1cc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8ccc(-c9ccc(-c%10ccc(-c%11ccc(-c%12cccc%13[nH]ccc%12%13)c%12[nH]ccc%11%12)c%11[nH]ccc%10%11)c%10[nH]ccc9%10)c9[nH]ccc89)c8[nH]ccc78)c7[nH]ccc67)c6[nH]ccc56)c5[nH]ccc45)c4[nH]ccc34)c3[nH]ccc23)c2[nH]ccc2c1,BrC1=CC=C(Br)C2=C1NC=C2,BrC1=CC=C(Br)C2=C1NC=C2,AB,"['AB', 'BrC1=CC=C(Br)C2=C1NC=C2', 'BrC1=CC=C(Br)C2=C1NC=C2']",12.0,12.0,5.018030188475788,1.1659079945214694,2.961299742565427
36_36_01,-5.9621,-3.3201,3.928,5.0805,c1cnc2c(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8ccc(-c9ccc(-c%10ccc(-c%11ccc(-c%12ccc(-c%13cccc%14ncccc%13%14)c%13ncccc%12%13)c%12ncccc%11%12)c%11ncccc%10%11)c%10ncccc9%10)c9ncccc89)c8ncccc78)c7ncccc67)c6ncccc56)c5ncccc45)c4ncccc34)cccc2c1,BrC1=C2C=CC=NC2=C(Br)C=C1,BrC1=C2C=CC=NC2=C(Br)C=C1,AB,"['AB', 'BrC1=C2C=CC=NC2=C(Br)C=C1', 'BrC1=C2C=CC=NC2=C(Br)C=C1']",37.0,37.0,5.910853243612678,2.0474012908543817,3.058023393271042
40_40_01,-6.0437,-3.5246,3.795,5.1853,c1ccc2c(-c3ncc(-c4ncc(-c5ncc(-c6ncc(-c7ncc(-c8ncc(-c9ncc(-c%10ncc(-c%11ncc(-c%12ncc(-c%13nccc%14ccccc%13%14)c%13ccccc%12%13)c%12ccccc%11%12)c%11ccccc%10%11)c%10ccccc9%10)c9ccccc89)c8ccccc78)c7ccccc67)c6ccccc56)c5ccccc45)c4ccccc34)cncc2c1,BrC1=C2C=CC=CC2=C(Br)N=C1,BrC1=C2C=CC=CC2=C(Br)N=C1,AB,"['AB', 'BrC1=C2C=CC=CC2=C(Br)N=C1', 'BrC1=C2C=CC=CC2=C(Br)N=C1']",41.0,41.0,5.985232377149349,2.2230471829912624,2.9849310890446397
10_10_01,-4.248,-3.9923,1.9780000000000002,7.8114,c1ccc2c(-c3sc(-c4sc(-c5sc(-c6sc(-c7sc(-c8sc(-c9sc(-c%10sc(-c%11sc(-c%12sc(-c%13scc%14ccccc%13%14)c%13ccccc%12%13)c%12ccccc%11%12)c%11ccccc%10%11)c%10ccccc9%10)c9ccccc89)c8ccccc78)c7ccccc67)c6ccccc56)c5ccccc45)c4ccccc34)scc2c1,BrC1=C2C=CC=CC2=C(Br)S1,BrC1=C2C=CC=CC2=C(Br)S1,AB,"['AB', 'BrC1=C2C=CC=CC2=C(Br)S1', 'BrC1=C2C=CC=CC2=C(Br)S1']",11.0,11.0,4.348435684847859,2.6247566389933117,1.9863693087486043
52_52_01,-5.0828,-3.2653,3.364,20.9476,c1cc2cc3sc(-c4cc5cc6sc(-c7cc8cc9sc(-c%10cc%11cc%12sc(-c%13cc%14cc%15sc(-c%16cc%17cc%18sc(-c%19cc%20cc%21sc(-c%22cc%23cc%24sc(-c%25cc%26cc%27sc(-c%28cc%29cc%30sc(-c%31cc%32cc%33sc(-c%34cc%35cc%36sccc%36cc%35s%34)cc%33cc%32s%31)cc%30cc%29s%28)cc%27cc%26s%25)cc%24cc%23s%22)cc%21cc%20s%19)cc%18cc%17s%16)cc%15cc%14s%13)cc%12cc%11s%10)cc9cc8s7)cc6cc5s4)cc3cc2s1,BrC1=CC2=CC3=C(C=C(Br)S3)C=C2S1,BrC1=CC2=CC3=C(C=C(Br)S3)C=C2S1,AB,"['AB', 'BrC1=CC2=CC3=C(C=C(Br)S3)C=C2S1', 'BrC1=CC2=CC3=C(C=C(Br)S3)C=C2S1']",53.0,53.0,5.109363389215672,2.000333345186406,2.7480680580553214
14_14_01,-4.9132,-3.1454,2.989,4.8581,c1cc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8ccc(-c9ccc(-c%10ccc(-c%11ccc(-c%12cccc%13cscc%12%13)c%12cscc%11%12)c%11cscc%10%11)c%10cscc9%10)c9cscc89)c8cscc78)c7cscc67)c6cscc56)c5cscc45)c4cscc34)c3cscc23)c2cscc2c1,BrC1=CC=C(Br)C2=CSC=C12,BrC1=CC=C(Br)C2=CSC=C12,AB,"['AB', 'BrC1=CC=C(Br)C2=CSC=C12', 'BrC1=CC=C(Br)C2=CSC=C12']",15.0,15.0,4.954771464610041,1.8973507414347583,2.541980734108699
