ID,xTB_IP,xTB_EA,xTB_Opticalgap,xTB_oscillator_strength,Smiles,A,B,Sequence,check,Monomer_no_A,Monomer_no_B,TDDFT_Opticalgap,DFT_IP,DFT_EA,IP_cal,EA_cal,Opticalgap_cal
26_26_01,-5.8872,-2.3559,4.103,2.7764,c1ccc2c(-c3cccc4c(-c5cccc6c(-c7cccc8c(-c9cccc%10c(-c%11cccc%12c(-c%13cccc%14c(-c%15cccc%16ccccc%15%16)cccc%13%14)cccc%11%12)cccc9%10)cccc78)cccc56)cccc34)cccc2c1,BrC1=CC=CC2=C(Br)C=CC=C12,BrC1=CC=CC2=C(Br)C=CC=C12,AB,"['AB', 'BrC1=CC=CC2=C(Br)C=CC=C12', 'BrC1=CC=CC2=C(Br)C=CC=C12']",26,26,,,,-5.842581220305121,-1.2192459402510565,3.1541974777794657
47_47_01,-6.9421,-3.8961,3.472,0.0001,c1ccc2c(-c3nnc(-c4nnc(-c5nnc(-c6nnc(-c7nnc(-c8nnc(-c9nncc%10ccccc9%10)c9ccccc89)c8ccccc78)c7ccccc67)c6ccccc56)c5ccccc45)c4ccccc34)nncc2c1,BrC1=C2C=CC=CC2=C(Br)N=N1,BrC1=C2C=CC=CC2=C(Br)N=N1,AB,"['AB', 'BrC1=C2C=CC=CC2=C(Br)N=N1', 'BrC1=C2C=CC=CC2=C(Br)N=N1']",47,47,,,,-6.8041320532442775,-2.5421300628389467,2.8074212073519487
58_58_01,-6.1584,-3.7201,3.2060000000000004,1.3834,O=C1c2ccccc2-c2ccc(-c3ccc4c(c3)C(=O)c3cc(-c5ccc6c(c5)C(=O)c5cc(-c7ccc8c(c7)C(=O)c7cc(-c9ccc%10c(c9)C(=O)c9cc(-c%11ccc%12c(c%11)C(=O)c%11cc(-c%13ccc%14c(c%13)C(=O)c%13cc(-c%15ccc%16c(c%15)C(=O)c%15ccccc%15-%16)ccc%13-%14)ccc%11-%12)ccc9-%10)ccc7-8)ccc5-6)ccc3-4)cc21,BrC1=CC2=C(C=C1)C1=C(C=C(Br)C=C1)C2=O,BrC1=CC2=C(C=C1)C1=C(C=C(Br)C=C1)C2=O,AB,"['AB', 'BrC1=CC2=C(C=C1)C1=C(C=C(Br)C=C1)C2=O', 'BrC1=CC2=C(C=C1)C1=C(C=C(Br)C=C1)C2=O']",58,58,,,,-6.089782458235825,-2.3909629380658854,2.661236598899144
19_19_01,-6.257999999999999,-3.2491,3.904,6.2632,c1cnc2ccc(-c3ccc4cc(-c5ccc6cc(-c7ccc8cc(-c9ccc%10cc(-c%11ccc%12cc(-c%13ccc%14cc(-c%15ccc%16ccccc%16n%15)ccc%14n%13)ccc%12n%11)ccc%10n9)ccc8n7)ccc6n5)ccc4n3)cc2c1,BrC1=CC=C2N=C(Br)C=CC2=C1,BrC1=CC=C2N=C(Br)C=CC2=C1,AB,"['AB', 'BrC1=CC=C2N=C(Br)C=CC2=C1', 'BrC1=CC=C2N=C(Br)C=CC2=C1']",19,19,,,,-6.1805687535820555,-1.9864190984743413,3.0448338045384578
39_39_01,-6.5634,-3.5231,3.724,2.891,c1cc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8cccc9ncncc89)c8ncncc78)c7ncncc67)c6ncncc56)c5ncncc45)c4ncncc34)c3ncncc23)c2ncncc2c1,BrC1=C2C=NC=NC2=C(Br)C=C1,BrC1=C2C=NC=NC2=C(Br)C=C1,AB,"['AB', 'BrC1=C2C=NC=NC2=C(Br)C=C1', 'BrC1=C2C=NC=NC2=C(Br)C=C1']",39,39,,,,-6.458943598950923,-2.2217588268142205,2.945911889044079
35_35_01,-5.9,-2.3123,4.08,2.7736,c1ccc2c(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8ccc(-c9cccc%10ccccc9%10)c9ccccc89)c8ccccc78)c7ccccc67)c6ccccc56)c5ccccc45)c4ccccc34)cccc2c1,BrC1=C2C=CC=CC2=C(Br)C=C1,BrC1=C2C=CC=CC2=C(Br)C=C1,AB,"['AB', 'BrC1=C2C=CC=CC2=C(Br)C=C1', 'BrC1=C2C=CC=CC2=C(Br)C=C1']",35,35,,,,-5.854248535369697,-1.1817977207050028,3.1415574552440724
60_60_01,-5.6168,-2.9197,3.155,2.7331,c1ccc2c(-c3c4ccccc4c(-c4c5ccccc5c(-c5c6ccccc6c(-c6c7ccccc7c(-c7c8ccccc8c(-c8c9ccccc9c(-c9c%10ccccc%10cc%10ccccc9%10)c9ccccc89)c8ccccc78)c7ccccc67)c6ccccc56)c5ccccc45)c4ccccc34)c3ccccc3cc2c1,BrC1=C2C=CC=CC2=C(Br)C2=CC=CC=C12,BrC1=C2C=CC=CC2=C(Br)C2=CC=CC=C12,AB,"['AB', 'BrC1=C2C=CC=CC2=C(Br)C2=CC=CC=C12', 'BrC1=C2C=CC=CC2=C(Br)C2=CC=CC=C12']",60,60,,,,-5.5961091895659525,-1.7034960819956693,2.6332087228424035
46_46_01,-6.6006,-3.8532,3.559,4.0489999999999995,c1cc2c(-c3nccc4c(-c5nccc6c(-c7nccc8c(-c9nccc%10c(-c%11nccc%12c(-c%13nccc%14c(-c%15nccc%16cnccc%15%16)nccc%13%14)nccc%11%12)nccc9%10)nccc78)nccc56)nccc34)nccc2cn1,BrC1=NC=CC2=C(Br)N=CC=C12,BrC1=NC=CC2=C(Br)N=CC=C12,AB,"['AB', 'BrC1=NC=CC2=C(Br)N=CC=C12', 'BrC1=NC=CC2=C(Br)N=CC=C12']",46,46,,,,-6.492851733357347,-2.5052830761755134,2.855233466507565
53_53_01,-5.2154,-3.0723,3.2460000000000004,13.1297,c1cc2cc3sc(-c4cc5cc6sc(-c7cc8cc9sc(-c%10cc%11cc%12sc(-c%13cc%14cc%15sc(-c%16cc%17cc%18sc(-c%19cc%20cc%21sc(-c%22cc%23cc%24sccc%24cc%23s%22)cc%21cc%20s%19)cc%18cc%17s%16)cc%15cc%14s%13)cc%12cc%11s%10)cc9cc8s7)cc6cc5s4)cc3cc2s1,BrC1=CC2=CC3=C(C=C(Br)S3)C=C2S1,BrC1=CC2=CC3=C(C=C(Br)S3)C=C2S1,AB,"['AB', 'BrC1=CC2=CC3=C(C=C(Br)S3)C=C2S1', 'BrC1=CC2=CC3=C(C=C(Br)S3)C=C2S1']",53,53,,,,-5.230229481212765,-1.8345648504068572,2.683219246786784
2_2_01,-4.9873,-2.9445,2.719,4.8652,c1csc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8cccs8)s7)s6)s5)s4)s3)s2)c1,BrC1=CC=C(Br)S1,BrC1=CC=C(Br)S1,AB,"['AB', 'BrC1=CC=C(Br)S1', 'BrC1=CC=C(Br)S1']",3,3,,,,-5.022314280726064,-1.7247969041227824,2.3935978608671302
