ID,xTB_IP,xTB_EA,xTB_Opticalgap,xTB_oscillator_strength,Smiles,A,B,Sequence,check,Monomer_no_A,Monomer_no_B,TDDFT_Opticalgap,DFT_IP,DFT_EA,IP_cal,EA_cal,Opticalgap_cal
26_26_01,-5.806,-2.5959,4.218,2.9811,c1ccc2c(-c3cccc4c(-c5cccc6c(-c7cccc8c(-c9cccc%10c(-c%11cccc%12c(-c%13cccc%14c(-c%15cccc%16ccccc%15%16)cccc%13%14)cccc%11%12)cccc9%10)cccc78)cccc56)cccc34)cccc2c1,BrC1=CC=CC2=C(Br)C=CC=C12,BrC1=CC=CC2=C(Br)C=CC=C12,AB,"['AB', 'BrC1=CC=CC2=C(Br)C=CC=C12', 'BrC1=CC=CC2=C(Br)C=CC=C12']",26,26,,,,-5.377095665709642,-1.8409558893736757,3.307498165883559
47_47_01,-6.7019,-3.9926,3.491,0.0099,c1ccc2c(-c3nnc(-c4nnc(-c5nnc(-c6nnc(-c7nnc(-c8nnc(-c9nncc%10ccccc9%10)c9ccccc89)c8ccccc78)c7ccccc67)c6ccccc56)c5ccccc45)c4ccccc34)nncc2c1,BrC1=C2C=CC=CC2=C(Br)N=N1,BrC1=C2C=CC=CC2=C(Br)N=N1,AB,"['AB', 'BrC1=C2C=CC=CC2=C(Br)N=N1', 'BrC1=C2C=CC=CC2=C(Br)N=N1']",47,47,,,,-6.217958976887815,-3.128552204580347,2.8738415328661135
58_58_01,-5.9999,-3.8529,3.189,1.3838,O=C1c2ccccc2-c2ccc(-c3ccc4c(c3)C(=O)c3cc(-c5ccc6c(c5)C(=O)c5cc(-c7ccc8c(c7)C(=O)c7cc(-c9ccc%10c(c9)C(=O)c9cc(-c%11ccc%12c(c%11)C(=O)c%11cc(-c%13ccc%14c(c%13)C(=O)c%13cc(-c%15ccc%16c(c%15)C(=O)c%15ccccc%15-%16)ccc%13-%14)ccc%11-%12)ccc9-%10)ccc7-8)ccc5-6)ccc3-4)cc21,BrC1=CC2=C(C=C1)C1=C(C=C(Br)C=C1)C2=O,BrC1=CC2=C(C=C1)C1=C(C=C(Br)C=C1)C2=O,AB,"['AB', 'BrC1=CC2=C(C=C1)C1=C(C=C(Br)C=C1)C2=O', 'BrC1=CC2=C(C=C1)C1=C(C=C(Br)C=C1)C2=O']",58,58,,,,-5.559084052848216,-2.9997649165196525,2.6936980622041204
19_19_01,-6.1569,-3.5004,3.85,6.2459,c1cnc2ccc(-c3ccc4cc(-c5ccc6cc(-c7ccc8cc(-c9ccc%10cc(-c%11ccc%12cc(-c%13ccc%14cc(-c%15ccc%16ccccc%16n%15)ccc%14n%13)ccc%12n%11)ccc%10n9)ccc8n7)ccc6n5)ccc4n3)cc2c1,BrC1=CC=C2N=C(Br)C=CC2=C1,BrC1=CC=C2N=C(Br)C=CC2=C1,AB,"['AB', 'BrC1=CC=C2N=C(Br)C=CC2=C1', 'BrC1=CC=C2N=C(Br)C=CC2=C1']",19,19,,,,-5.706439270902656,-2.6748005711982867,3.087985592361661
39_39_01,-6.2775,-3.5992,3.774,2.642,c1cc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8cccc9ncncc89)c8ncncc78)c7ncncc67)c6ncncc56)c5ncncc45)c4ncncc34)c3ncncc23)c2ncncc2c1,BrC1=C2C=NC=NC2=C(Br)C=C1,BrC1=C2C=NC=NC2=C(Br)C=C1,AB,"['AB', 'BrC1=C2C=NC=NC2=C(Br)C=C1', 'BrC1=C2C=NC=NC2=C(Br)C=C1']",39,39,,,,-5.819630604006894,-2.765882776355027,3.042651473916921
35_35_01,-5.7425,-2.6708,4.061,3.0097,c1ccc2c(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8ccc(-c9cccc%10ccccc9%10)c9ccccc89)c8ccccc78)c7ccccc67)c6ccccc56)c5ccccc45)c4ccccc34)cccc2c1,BrC1=C2C=CC=CC2=C(Br)C=C1,BrC1=C2C=CC=CC2=C(Br)C=C1,AB,"['AB', 'BrC1=C2C=CC=CC2=C(Br)C=C1', 'BrC1=C2C=CC=CC2=C(Br)C=C1']",35,35,,,,-5.317496580700362,-1.9100050509752937,3.2138474212016623
60_60_01,-5.5895,-3.1336,3.132,2.6923,c1ccc2c(-c3c4ccccc4c(-c4c5ccccc5c(-c5c6ccccc6c(-c6c7ccccc7c(-c7c8ccccc8c(-c8c9ccccc9c(-c9c%10ccccc%10cc%10ccccc9%10)c9ccccc89)c8ccccc78)c7ccccc67)c6ccccc56)c5ccccc45)c4ccccc34)c3ccccc3cc2c1,BrC1=C2C=CC=CC2=C(Br)C2=CC=CC=C12,BrC1=C2C=CC=CC2=C(Br)C2=CC=CC=C12,AB,"['AB', 'BrC1=C2C=CC=CC2=C(Br)C2=CC=CC=C12', 'BrC1=C2C=CC=CC2=C(Br)C2=CC=CC=C12']",60,60,,,,-5.173895635717372,-2.3366532751305504,2.6596974733705654
46_46_01,-6.3384,-3.948,3.548,4.0769,c1cc2c(-c3nccc4c(-c5nccc6c(-c7nccc8c(-c9nccc%10c(-c%11nccc%12c(-c%13nccc%14c(-c%15nccc%16cnccc%15%16)nccc%13%14)nccc%11%12)nccc9%10)nccc78)nccc56)nccc34)nccc2cn1,BrC1=NC=CC2=C(Br)N=CC=C12,BrC1=NC=CC2=C(Br)N=CC=C12,AB,"['AB', 'BrC1=NC=CC2=C(Br)N=CC=C12', 'BrC1=NC=CC2=C(Br)N=CC=C12']",46,46,,,,-5.876789411519732,-3.087436148406353,2.9078421216996677
53_53_01,-5.1082,-3.2194,3.218,12.1906,c1cc2cc3sc(-c4cc5cc6sc(-c7cc8cc9sc(-c%10cc%11cc%12sc(-c%13cc%14cc%15sc(-c%16cc%17cc%18sc(-c%19cc%20cc%21sc(-c%22cc%23cc%24sccc%24cc%23s%22)cc%21cc%20s%19)cc%18cc%17s%16)cc%15cc%14s%13)cc%12cc%11s%10)cc9cc8s7)cc6cc5s4)cc3cc2s1,BrC1=CC2=CC3=C(C=C(Br)S3)C=C2S1,BrC1=CC2=CC3=C(C=C(Br)S3)C=C2S1,AB,"['AB', 'BrC1=CC2=CC3=C(C=C(Br)S3)C=C2S1', 'BrC1=CC2=CC3=C(C=C(Br)S3)C=C2S1']",53,53,,,,-4.722162728395065,-2.4157509796087724,2.7109966074001397
2_2_01,-4.8175,-3.1825,2.709,4.1079,c1csc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8cccs8)s7)s6)s5)s4)s3)s2)c1,BrC1=CC=C(Br)S1,BrC1=CC=C(Br)S1,AB,"['AB', 'BrC1=CC=C(Br)S1', 'BrC1=CC=C(Br)S1']",3,3,,,,-4.449320932927384,-2.3817334353751316,2.407377314132079
